"","av","bv","pv","av...bv"
"589",36,103,0.0496774196058695,139
"590",389,1612,0.738774731153557,2001
"591",403,1598,0.442265675267753,2001
"592",394,1607,0.640010194963003,2001
"593",394,1607,0.640010194963003,2001
"594",401,1600,0.486623333352149,2001
"595",389,1612,0.738774731153557,2001
"596",221,776,0.0471124723062057,997
"597",375,1626,0.923858425154646,2001
"598",394,1607,0.640010194963003,2001
"599",8,12,0.0232783123768148,20
"600",418,1583,0.163898422275078,2001
"601",389,1612,0.738774731153557,2001
"602",386,1615,0.79064475444227,2001
"603",397,1604,0.575449000831754,2001
"604",411,1590,0.277389055861765,2001
"605",390,1611,0.720148574937026,2001
"606",408,1593,0.335837388688496,2001
"607",405,1596,0.398674435643595,2001
"608",18,42,0.0365086448232245,60
"609",423,1578,0.104797849081733,2001
"610",386,1615,0.79064475444227,2001
"611",405,1596,0.398674435643595,2001
"612",404,1597,0.420341167570075,2001
"613",389,1612,0.738774731153557,2001
"614",396,1605,0.597276037395401,2001
"615",29,78,0.041889307947173,107
"616",66,206,0.0455404855750635,272
"617",408,1593,0.335837388688496,2001
"618",392,1609,0.681112660554043,2001
"619",411,1590,0.277389055861765,2001
"620",387,1614,0.774052990060254,2001
"621",6,9,0.04385438056448,15
"622",387,1614,0.774052990060254,2001
"623",16,36,0.0367871541520281,52
"624",411,1590,0.277389055861765,2001
"625",411,1590,0.277389055861765,2001
"626",388,1613,0.756753824871251,2001
"627",395,1606,0.618817486564757,2001
"628",397,1604,0.575449000831754,2001
"629",415,1586,0.208252955116661,2001
"630",4,4,0.033344,8
"631",18,44,0.0496055650105472,62
"632",31,84,0.0393121826493828,115
"633",365,1636,0.977345137910332,2001
"634",6,7,0.019405279232,13
"635",78,250,0.0494292565515941,328
"636",412,1589,0.259095552284785,2001
"637",39,113,0.0488410362597811,152
"638",4,4,0.033344,8
"639",91,296,0.0473774204786062,387
"640",26,69,0.0459687729205064,95
"641",14,30,0.0362280117164699,44
"642",398,1603,0.553402044504241,2001
"643",384,1617,0.821623439477988,2001
"644",419,1582,0.150603204937621,2001
"645",404,1470,0.0485017883981602,1874
"646",412,1589,0.259095552284785,2001
"647",386,1615,0.79064475444227,2001
"648",375,1626,0.923858425154646,2001
"649",385,1616,0.806507097603778,2001
"650",25,66,0.0473759659003949,91
"651",323,1162,0.048775526465847,1485
"652",367,1327,0.0460602745655493,1694
"653",395,1606,0.618817486564757,2001
"654",111,368,0.0461075327329724,479
"655",421,1580,0.126243645856816,2001
"656",14,31,0.0436466778820094,45
"657",395,1606,0.618817486564757,2001
"658",413,1588,0.241456973896543,2001
"659",135,455,0.0444127907629403,590
"660",303,1087,0.0499089685071886,1390
"661",396,1605,0.597276037395401,2001
"662",395,1606,0.618817486564757,2001
"663",394,1607,0.640010194963003,2001
"664",8,14,0.0430526331781802,22
"665",395,1606,0.618817486564757,2001
"666",365,1636,0.977345137910332,2001
"667",75,236,0.0402753713357763,311
"668",395,1606,0.618817486564757,2001
"669",87,280,0.0432548580464311,367
"670",399,1602,0.531202753679491,2001
"671",345,1244,0.0468159550432428,1589
"672",14,30,0.0362280117164699,44
"673",177,611,0.0458679000496428,788
"674",13,28,0.0432416223763238,41
"675",35,99,0.0467864221168934,134
"676",415,1586,0.208252955116661,2001
"677",419,1582,0.150603204937621,2001
"678",7,10,0.026657331511296,17
"679",410,1591,0.296303848239473,2001
"680",375,1626,0.923858425154646,2001
"681",13,28,0.0432416223763238,41
"682",385,1616,0.806507097603778,2001
"683",397,1604,0.575449000831754,2001
"684",13,27,0.0354954900058294,40
"685",122,408,0.0457643887956867,530
"686",91,296,0.0473774204786062,387
"687",379,1622,0.885800682640244,2001
"688",386,1615,0.79064475444227,2001
"689",404,1597,0.420341167570075,2001
"690",396,1605,0.597276037395401,2001
"691",13,27,0.0354954900058294,40
"692",307,1100,0.0469546583199749,1407
"693",43,126,0.0460813181530612,169
"694",250,886,0.0487485491504427,1136
"695",377,1624,0.906236055071354,2001
"696",386,1615,0.79064475444227,2001
"697",37,105,0.0435855949474524,142
"698",378,1623,0.896380143391661,2001
"699",379,1622,0.885800682640244,2001
"700",200,698,0.0480979892520187,898
"701",412,1589,0.259095552284785,2001
"702",396,1605,0.597276037395401,2001
"703",414,1587,0.224501730264263,2001
"704",403,1598,0.442265675267753,2001
"705",15,33,0.0366368930406167,48
"706",418,1583,0.163898422275078,2001
"707",42,123,0.0478013057010626,165
"708",64,199,0.0457308758128248,263
"709",19,47,0.0486461033380289,66
"710",399,1602,0.531202753679491,2001
"711",9,16,0.0361749880288391,25
"712",163,561,0.0495805003455013,724
"713",93,303,0.0468101827612291,396
"714",379,1622,0.885800682640244,2001
"715",386,1615,0.79064475444227,2001
"716",8,12,0.0232783123768148,20
"717",104,344,0.0496748383863243,448
"718",393,1608,0.660794083224133,2001
"719",21,52,0.0405500521631417,73
"720",5,6,0.0327934976,11
"721",16,36,0.0367871541520281,52
"722",393,1608,0.660794083224133,2001
"723",410,1591,0.296303848239473,2001
"724",412,1589,0.259095552284785,2001
"725",11,22,0.0410883210235406,33
"726",366,1635,0.974086344564561,2001
"727",405,1596,0.398674435643595,2001
"728",394,1607,0.640010194963003,2001
"729",382,1619,0.849578467874578,2001
"730",372,1629,0.945442102267396,2001
"731",175,604,0.0466398020566038,779
"732",87,281,0.0458201619501184,368
"733",387,1614,0.774052990060254,2001
"734",411,1590,0.277389055861765,2001
"735",401,1600,0.486623333352149,2001
"736",6,9,0.04385438056448,15
"737",13,27,0.0354954900058294,40
"738",400,1601,0.508920006874197,2001
"739",400,1601,0.508920006874197,2001
"740",20,50,0.0476132907541665,70
"741",417,1584,0.177941128142563,2001
"742",223,783,0.0463257360286494,1006
"743",74,234,0.0444627730936091,308
"744",411,1590,0.277389055861765,2001
"745",417,1584,0.177941128142563,2001
"746",404,1597,0.420341167570075,2001
"747",242,856,0.0489193486713877,1098
"748",403,1598,0.442265675267753,2001
